isin,security_name,bucket,credit_rating,coupon_pct,ytm_pct,maturity_date,years_to_maturity,min_lot_inr,qtm_inr,duration_score,listed_score,yield_score,liquidity_score,issuer_score,final_score,suggested_allocation_inr,meets_min_lot
INE00DJ07052,TAPIR CONSTRUCTIONS,A,A- IVR,12.5,12.0,2030-03-12,3.8109589041095893,500000.0,20000000.0,100.0,100.0,76.61469933184858,55.0,55.0,87.49220489977729,360000.0,False
INE134E08LK2,POWER FINANCE,C,AAA CRISIL/AAA ICRA/AAA CARE,6.09,5.12,2026-08-27,0.2684931506849315,1000000.0,100000000.0,20.0,100.0,0.0,90.0,95.0,59.5,480000.0,False
INE658F08524,KERALA INFRA.,M,AA IND/ AA ACUITE,9.3,9.2,2031-01-21,4.673972602739726,500000.0,2000000.0,75.0,100.0,45.434298440979966,75.0,75.0,79.315144766147,360000.0,False
